epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.224,0.48897,2.1251,0.86494,0.89454,0.56145,0.7597,0.70757,0.33776,2.15248,0.79166,0.000329167,0.000329167,0.000329167
2,695.254,0.38758,0.58846,0.82497,0.9073,0.8125,0.92861,0.90094,0.28378,0.91797,0.78103,0.000649383,0.000649383,0.000649383
3,1042.51,0.3652,0.48965,0.81764,0.91944,0.94446,0.97148,0.94196,0.27147,0.52644,0.7783,0.000956398,0.000956398,0.000956398
4,1384.87,0.34517,0.42869,0.81251,0.98056,0.97753,0.99178,0.9609,0.26395,0.4582,0.77763,0.0009406,0.0009406,0.0009406
5,1728.6,0.34507,0.39873,0.81655,0.96112,0.96794,0.98639,0.96611,0.25616,0.41329,0.77846,0.0009208,0.0009208,0.0009208
6,2069.25,0.33822,0.3764,0.81174,0.98983,0.98147,0.99411,0.9757,0.24421,0.34552,0.77349,0.000901,0.000901,0.000901
7,2406.22,0.33142,0.34915,0.80937,0.98676,0.99604,0.99435,0.97469,0.24896,0.34708,0.7759,0.0008812,0.0008812,0.0008812
8,2744.44,0.33191,0.33828,0.80843,0.99183,0.99463,0.99462,0.97451,0.24715,0.30835,0.77378,0.0008614,0.0008614,0.0008614
9,3082.63,0.32936,0.31961,0.80859,0.99147,0.99002,0.99481,0.98353,0.22314,0.3087,0.77109,0.0008416,0.0008416,0.0008416
10,3418.61,0.32063,0.30606,0.80802,0.97307,0.97955,0.99321,0.98418,0.21916,0.31241,0.76719,0.0008218,0.0008218,0.0008218
11,3756.74,0.31536,0.29705,0.80574,0.96519,0.97311,0.98908,0.97738,0.22169,0.29776,0.77012,0.000802,0.000802,0.000802
12,4094.64,0.32679,0.29401,0.80827,0.96202,0.98228,0.99114,0.98038,0.2237,0.29981,0.76881,0.0007822,0.0007822,0.0007822
13,4425.95,0.3137,0.27953,0.80677,0.99407,0.98972,0.99395,0.98436,0.21869,0.25967,0.76917,0.0007624,0.0007624,0.0007624
14,4762.16,0.31143,0.26749,0.8052,0.99585,0.99417,0.99499,0.98581,0.20605,0.23443,0.76759,0.0007426,0.0007426,0.0007426
15,5095.33,0.31198,0.26035,0.80487,0.99189,0.99355,0.99489,0.99014,0.19824,0.23234,0.76406,0.0007228,0.0007228,0.0007228
16,5432.18,0.30343,0.25017,0.80383,0.94046,0.94231,0.97778,0.96785,0.21411,0.31273,0.76502,0.000703,0.000703,0.000703
17,5770.03,0.30345,0.2475,0.8026,0.98311,0.9759,0.99074,0.98152,0.21807,0.25083,0.76551,0.0006832,0.0006832,0.0006832
18,6103.66,0.31229,0.24938,0.80447,0.99218,0.9965,0.99495,0.98842,0.21065,0.22061,0.7653,0.0006634,0.0006634,0.0006634
